event_index,mrr_real_async,mrr_real_sync,mrr_iid_async,mrr_iid_sync
1,0.2326014886920823,0.3972514427862234,0.3474037318744553,0.37235183892063134
2,0.20859624357291973,0.40066712974987023,0.3499516628411296,0.3765605543998927
3,0.19643293776657206,0.40245299862528305,0.36091656997422505,0.3771704867660991
4,0.17867350713619723,0.4013590121119106,0.36604450644559733,0.39154217980740896
5,0.165779215006956,0.40185426402203617,0.36479472654227035,0.3984878248415184
6,0.17420333652531877,0.4030966845387211,0.36352451561647586,0.4029766238493607
7,0.20524736472068056,0.40354593782551523,0.3679003009259155,0.41013338534190147
8,0.2077713969962305,0.4053166943206081,0.3848097866704489,0.41259072092466276
9,0.20737238754852083,0.40723371584219487,0.38773615712406184,0.4089175356701214
10,0.1955202713024613,0.4075712847840259,0.3884813399730712,0.4065188217030547
11,0.19024934170731722,0.40719517626289675,0.39016711714851765,0.4102083214073007
12,0.18696556633311545,0.4069152803678551,0.388496802867463,0.40960136046689577
13,0.19802622811713577,0.40562038480066415,0.38976470691120507,0.41161283487247574
14,0.20086547269069288,0.4064391790557862,0.3948047684174697,0.4209293198023783
15,0.22588880547226506,0.4068279779591705,0.3972174817853366,0.41976382491750985
16,0.2246283410392958,0.40692607485087207,0.4018274409159899,0.4209180304481589
17,0.19115474139968866,0.4070004167544549,0.40372811960142785,0.4190745499245334
18,0.1514313182782444,0.40745489409637153,0.40756349012455195,0.42046062701982007
19,0.13979765104459688,0.40764693302098903,0.4086646394108539,0.4282771773087396
20,0.1264407070528917,0.4080738316751471,0.4086732866535602,0.4318470060954622
21,0.12258233451620532,0.4083961495738406,0.40875638891959526,0.4285176393558088
22,0.11916673105135295,0.40895572882267084,0.4066160809504194,0.4293886008659825
23,0.11778398769161351,0.40901855085058436,0.4052167790474563,0.4284986296476738
24,0.1198491059029065,0.4092833478515778,0.405568633397905,0.4325144847673801
25,0.12128490753188956,0.4089898899884155,0.4054838516726023,0.43195433634014574
26,0.12216798615628825,0.40943883453412294,0.4068811330421049,0.42686696605689345
27,0.12369723847179487,0.4100137621712393,0.4076011375668379,0.4261958595367441
28,0.12396191937834011,0.409881679273622,0.407224041518773,0.42520639260890525
29,0.12424795718698511,0.40986730182051495,0.40691428670861945,0.4248505709559764
30,0.12735184078833803,0.4100857707309469,0.4067211368432066,0.4251563896523165
31,0.12701639168890688,0.41023642005149585,0.40654541881207495,0.4244671903576167
32,0.12873079931583867,0.41045693438060754,0.4067530428896473,0.4249747599150264
33,0.12886753935194772,0.4104751294860866,0.40691998178049943,0.4271351782787379
34,0.12921012470126597,0.4105068745608194,0.4064603377742606,0.42587808643215286
35,0.23542225713560336,0.41042394769905566,0.40580268940017167,0.42811678316390495
36,0.3078665224297865,0.41042472654198636,0.4054854200168304,0.4275618504831886
37,0.3131548467294802,0.41114001741229333,0.40489191277431047,0.4269922336600574
38,0.39085290066270084,0.4118747181679438,0.40533853194342234,0.42830811399846636
39,0.39314214387326857,0.4121498454686829,0.40478601083587545,0.42816243288904554
40,0.39496649527773975,0.4118091406026645,0.4043974291474916,0.4271381155870265
41,0.3994117667334084,0.41214161720470777,0.40435754281033504,0.4257650784064454
42,0.39960617690447114,0.4123201140697504,0.4043896349583673,0.4279452387852926
